video_id,brand_name,product_name,recommendation_score,reason_for_selection,target_audience,key_strengths,critical_weaknesses,comparison_evidence,trigger_sentence,is_ad,sold_at_oliveyoung,status,source_title,source_channel
reQLTHBI1qQ,클리오,클리오 킬커버 메쉬 블러 쿠션,5,모공 요철 커버력과 환절기 건성 피부에 적합,"환절기 건성, 피부결 예뻐 보이고 모공 요철 커버 선호","모공 요철 커버, 은은한 결광 세미매트, 촉촉한 퍼짐성",없음,"예전 클리오 쿠션보다 맑은 색감, 블랙 쿠션보다 촉촉한 발림성",없음,N,Y,정상,광고❌ 커버력 좋고 밀착력 쩌는 2만원대 “환절기 쿠션” 3종 추천 !!!,LeoJ Makeup
reQLTHBI1qQ,클리오,클리오 킬커버 파운웨어 쿠션,4,"얇고 높은 커버력, 모공 커버력, 지복합성 피부에 적합","모공이 고민인 지복합성, 얇고 세미매트한 마무리감 선호","얇은 입자, 높은 커버력, 모공 커버, 좋은 지속력",건성에게는 건조함,"보라색 쿠션보다 얇고 매트함, VDL보다 매트한 마무리감","모공이 있으신 분들은 딱 올리자마자 어 모공에 막 끼나라고 느끼시는 분들이 계시더라고. 근데 그거 왜 그러냐면 얘를 밀듯이 발라서 그래요. 직각으로 눌러서 바르셔야 밀착, 지속력, 모공 커버력이 굉장히 높아집니다.",N,Y,정상,광고❌ 커버력 좋고 밀착력 쩌는 2만원대 “환절기 쿠션” 3종 추천 !!!,LeoJ Makeup
reQLTHBI1qQ,어바웃톤,어바웃톤 워터 레이어핏 쿠션,5,"커버력과 세미글로우-세미매트 중간 제형, 환절기 건성 피부에 적합","민감한 트러블성 건성, 각질 부자 건성, 예쁜 수분광과 커버력 선호","높은 커버력, 촉촉한 밀착력, 각질 부각 없음, 세미글로우-세미매트 중간 제형",요철 커버가 매트/세미매트보다 완벽하지 않음,"기존 스킨 레이어핏 쿠션보다 얇고 촉촉함, 정샘물/헤라 블랙 쿠션과 유사한 제형감","컬러수가 어두울수록 좀 주황빛이 많이 돈다는 의견이 있는데 채도가 조금 있는 느낌이라 아마 뉴트럴 톤 좋아하시는 분들이라면 선호하실 컬러들이고요. 하지만 19호, 21호 그리고 21.5호 같은 경우에는 유트럭이 많이 돌지 않고 맑은 화사한 빛으로 나와서 저는 평소에 클리어 쿠션 21N이나 23N을 썼는데 21.5가 5가 어 되게 잘 맞더라고요.",N,Y,정상,광고❌ 커버력 좋고 밀착력 쩌는 2만원대 “환절기 쿠션” 3종 추천 !!!,LeoJ Makeup
reQLTHBI1qQ,VDL,VDL 커버스테인 퍼펙팅 쿠션,4,"얇고 가벼운 밀착력, 깨끗한 색상, 모든 피부 타입에 적합","모든 피부 타입 (수부지, 복합성, 건성), 데일리로 가볍지만 커버력과 균일한 표현 선호","얇은 밀착력, 깨끗한 색상, 겉보속촉 세미매트, 뛰어난 지속력",수정 화장 시 지우고 덧바르는 것이 좋음,"에스쁘아 비벨벳 쿠션과 유사하나 더 얇음, 클리오 블랙 쿠션보다 촉촉한 발림성",건성분들은 환절기에 갑들이 좀 많이 올라와 있는 상태라면 한절기 스킨케어 제가 아이 버튼 올려 놓을테니까 여기로 가셔서 뭐 환절기 스킨케어도 신경 써서 하시면 정말 정말 만족하시면서 바를 수 있는 쿠션이라는 거 말씀드릴게요.,N,Y,정상,광고❌ 커버력 좋고 밀착력 쩌는 2만원대 “환절기 쿠션” 3종 추천 !!!,LeoJ Makeup
2fWVYW7Fegk,클리오,클리오 킬커버 메쉬 블러 쿠션,5,"신상 랭킹 진입, 궁금해서 구매","수부지, 스킨케어 잘한 건성","높은 커버력, 얇은 피부 표현, 우수한 지속력","빠른 픽싱으로 찍힘 가능성, 팔자 주름 끼임",없음,건성분들 스킨케어 잘해 주시고 발라야 될 거 같아요.,N,Y,정상,이 쿠션은 사지 말고 통장 아껴🙏(많이)솔직한 여름 쿠션 리뷰🔥+지속력테스트| 클리오/정샘물/vdl/이지듀/네이밍,제이미포유 Jaymeeforyou
2fWVYW7Fegk,네이밍,네이밍 제로 그래비티 커버 업 쿠션,3,"리뉴얼 제품, 궁금해서 구매","건성, 얇은 세미매트 선호","얇고 슬림한 발림성, 뭉침/끼임 없음, 여름 수정 화장용 적합","낮은 커버력, 코 부분 지속력 아쉬움",클리오 킬커버 매쉬 블러 쿠션보다 커버력 낮음,아까 그 클리오 쿠션과 같이 놓고 봤을 때 둘 다 세미매트 쿠션이잖아요. 근데 클리오 쿠션은 조금 더 지성분들한테는 잘 맞는 느낌이에요. 왜냐면 걔는고 커버에다가 조금 더 탄탄하고 픽싱하고 나서는 재형감도 되게 착 달라붙는 느낌이 없잖아 있거든요. 근데 얘는 되게 얇게 발리면서 약간의 그 수분감이 도는 느낌이 건성분들에게 더 잘 맞는 그런 세이매트 쿠션입니다.,N,Y,정상,이 쿠션은 사지 말고 통장 아껴🙏(많이)솔직한 여름 쿠션 리뷰🔥+지속력테스트| 클리오/정샘물/vdl/이지듀/네이밍,제이미포유 Jaymeeforyou
2fWVYW7Fegk,정샘물,정샘물 프로래스팅 결핏 메쉬 쿠션,1,"랭킹 상위, 궁금해서 구매","얇은 피부 표현 선호, 맑은 광 선호","투명하고 얇은 피부 표현, 맑은 광채 표현","매우 낮은 지속력, 모공/팔자 주름 끼임",정샘물 스킨더 쿠션보다 촉촉하고 얇음,나보다 모공 크신 분들은이 쿠션이 너무 가볍다 보니까 벗겨질 거 같아. 그냥 진짜 얇게 발라서 에인이랑 처음으로 여행 갔을 때 생얼 들키고 싶지 않은 날 바르는 거예요. 그 컨셉질를 하고 싶을 때 차라리 그냥 발라야 돼.,N,Y,정상,이 쿠션은 사지 말고 통장 아껴🙏(많이)솔직한 여름 쿠션 리뷰🔥+지속력테스트| 클리오/정샘물/vdl/이지듀/네이밍,제이미포유 Jaymeeforyou
2fWVYW7Fegk,VDL,VDL 커버스테인 하이커버 쿠션,4,"기존 제품 랭킹 상위, 신제품 기대","깐달걀 피부 표현 선호, 세미매트 선호","높은 커버력, 깔끔한 모공 커버, 우수한 픽싱력","건성에게 건조할 수 있음, 시간 경과 후 각질 부각 무너짐",없음,건성분들은 스킨케어를 굉장히 잘해 주고 바르셔야 될 그런 쿠션이기는 해요. 그래도 재형감이 좀 잘 빠졌기 때문에 퍼석퍼하진 않으나 밀도감이 좀 있기 때문에 건성분들이 스킨케어을 어쨌든 잘해 주셔야지 뭉치지 않을 쿠션입니다.,N,Y,정상,이 쿠션은 사지 말고 통장 아껴🙏(많이)솔직한 여름 쿠션 리뷰🔥+지속력테스트| 클리오/정샘물/vdl/이지듀/네이밍,제이미포유 Jaymeeforyou
2fWVYW7Fegk,이지듀,이지듀 기미 앰플 쿠션,2,"기미 앰플 쿠션, 홈쇼핑 대란템",없음,"안정적인 커버력, 팔자/미간 끼임 없음, 매끄러운 발림성","겉촉속건, 낮은 지속력 및 다크닝",없음,화산 커버력을 원하시는 분들한텐 추천하고 싶은 쿠션은 아닌데 약간 애매해요.,N,Y,정상,이 쿠션은 사지 말고 통장 아껴🙏(많이)솔직한 여름 쿠션 리뷰🔥+지속력테스트| 클리오/정샘물/vdl/이지듀/네이밍,제이미포유 Jaymeeforyou
cUDDwLY0lPA,어바웃톤,어바웃톤 스킨 레이어 핏 쿠션,3,시청자들의 많은 리뷰 요청과 높은 인기로 선정,"대중적, 편안한 피부 표현, 너무 매트하거나 광나지 않는 중간 선호","할인 시 가격 매력, 얇고 편안한 밀착, 높은 커버력","색감 아쉬움, 밀착력 부족","에스쁘아보다 커버력 덜하다는 의견, 어뮤즈 듀젤리 쿠션만큼 투명하지 않음, 헤라 블랙 쿠션보다 건조하다는 의견, 바닐라코보다 맑음 부족, 네이밍 쿠션보다 커버력 높고 맑음 부족, 핏감은 네이밍 쿠션이 더 좋음",이런 애들의 특징이 좀 편안하게 펼쳐지니까 커버르을 위해서 처음부터 벅벅 올리게 되면은 피부 위에 붙는 느낌보다는 얹어지는 느낌으로 표현이 되기 때문에 이게 유분하고 만나면은 나중에 무너지면서 좀 호브로가 갈리게 어떤 사람은 되게 지저분해질 수 있는 그런 소지가 있어요.,Y,Y,정상,리뷰 요청 많았던 어바웃톤..!!! 너란 아이... 궁금했숴.. 어바웃톤 스킨 레이어 핏 쿠션,YOOTRUE ON AIR
