brand,product_name,mention_count,avg_score,score_std,score_distribution,top_strengths,top_weaknesses,target_audience,trigger_count,triggers,ad_count
투슬래시포,투슬래시포 엔젤릭 새틴 쿠션,18,2.72,1.07,1점:3건 / 2점:4건 / 3점:6건 / 4점:5건,"얇게 발림(2), 빠른 밀착력(1), 빠른 픽싱력(1)","양 조절 어려움(4), 양 조절 필수(2)","수부지(4), 모공(2), 건성(2), 환절기(2), 얇게 바르는 것 선호(2)",16,"이 제품은 잔각질, 솜털, 모공이나 흉터가 있는 분들은 사용하기 어렵지 않을까 싶어요. ||| 이 제품은 겨울에나 쓸 수 있을 것 같아요. ||| 이 제품은 포지셔닝이 좀 애매해요. 모공 커버력이 아쉽고 잡티 커버가 강점인데, 보통 모공이 없는 건성 피부는 잡티가 없는 경우가 많아서요. ||| 왕모공이나 피부가 얇아 코 옆이나 눈가 주름에 잘 끼는 분들은 아주 적은 양으로 사용해야 할 것 같아요. ||| 붉은기 커버가 꼭 필요한 분들한테는 살짝 부족하게 느껴질 수 있어요. ||| 이 제형이 여름에 쓰면 시간이 지나면서 유분도 빨리 올라오고 번들거리는 느낌이 나요. ||| 혹시 오프라인에서 테스트해 볼 기회가 있다면, 톤을 조금 낮춰서 사용해 보는 게 괜찮을 것 같아요. ||| 아주 얇은 쿠션이라고 생각하면 생각보다 두껍다고 느끼실 수도 있어요. ||| 메이크업 베이스나 기초를 꼼꼼히 깔지 않으면 피부에 잘 밀착되지 않을 수도 있어요. ||| 한여름에 사용하면 유분기 때문에 별로라고 느낄 수 있어요. ||| 모공이 남아있다고 해서 자꾸 덧바르면 나중에 모공에 끼일 수 있어요. ||| 이 쿠션은 호불호가 많이 갈리는데, 만약 불호였다면 너무 두껍게 바르셨을 수도 있어요. ||| 스킨케어와 선크림의 궁합을 타는 쿠션이에요. ||| 유분이 많이 올라오는 지복합성이나 지성 피부는 사용하지 않는 게 좋을 것 같아요. ||| 건성 피부가 좋아할지는 잘 모르겠어요. 그렇다고 아주 촉촉한 쿠션은 아니거든요. ||| 21호는 시간이 지나면 다크닝이 많이 오는 편이에요. ||| 피부가 얇고 피부결은 좋지만 얼굴에 붉은기가 많지 않은 건성 피부는 이 쿠션이 생각보다 도톰하게 올라온다고 느낄 수 있어요.",0
어바웃톤,어바웃톤 워터 레이어핏 쿠션,14,3.07,1.49,1점:3건 / 2점:2건 / 3점:3건 / 4점:3건 / 5점:3건,"높은 커버력(2), 촉촉한 밀착력(1), 각질 부각 없음(1)","낮은 커버력(2), 요철 커버가 매트/세미매트보다 완벽하지 않음(1)","환절기(3), 건성 피부(2), 건성(2), 수부지(2), 민감한 트러블성 건성(1)",14,"어두운 컬러는 주황빛과 높은 채도 때문에 뉴트럴 톤이 아니신 분들은 좀 아쉽다고 느낄 수도 있어요. ||| 모공이 많으신 분들은 그냥 두드리기만 하면 모공 커버가 아쉬울 수 있어서, 먼저 한 번 밀어주듯 바르고 두드려서 채워주는 게 필요할 거예요. ||| 피부 바탕이 깨끗하신 분들이 쓰면 괜찮을 것 같아서, 피부 결점이 많다면 자연스러운 커버가 아쉬울 수 있어요. ||| 제형이 생각보다 꽤 미끄러운 편이라, 내장 퍼프로 두드릴 때는 피부에 잘 붙도록 꽤 힘있게 여러 번 두드려줘야 할 것 같아요. ||| 건조한 환경에서는 매트해지고 유분기가 돌면 번들거릴 수 있어서, 스킨케어를 수분 위주로 깔끔하게 해주지 않으면 무너짐이나 번들거림이 아쉬울 수도 있어요. ||| 촉촉한 보습력을 기대하는 글로우 쿠션 마니아라면 이 쿠션에 조금 실망할 수도 있을 것 같아요. ||| 광택감이 너무 굵거나 도드라지면, 피부가 좋지 않은 이상 요철이 부각되어 보일 수도 있어요. ||| 극건성이나 속건조가 심한 건성, 수부지 피부는 겉광에 비해 속당김을 느낄 수도 있어서 아쉬울 수 있어요. ||| 처음 펴 발랐을 때 모공이나 흉터 부위에 잘 스며들지 않고 위에 얹어진 느낌으로 커버될 수도 있어서, 밀착력이 아쉽다고 느낄 수도 있을 것 같아요. ||| 이 쿠션이 호불호가 갈렸던 걸로 아는데, 발림성 자체는 괜찮아도 양 조절을 특히 더 잘해줘야 할 것 같았어요. ||| 퍼프에 양이 너무 많으면 두드릴수록 커버력이 높아져서, 자칫하면 이 쿠션 특유의 질감을 잃을 수도 있어요. ||| 메이크업 한 티가 너무 안 나거나 생얼 커버가 부족하다고 느껴진다면, 양 조절을 깔끔하게 해서 얇게 잘 깔아주는 게 중요할 것 같아요. ||| 건성 피부이신 분들은 세미 매트 쿠션에 가깝게 느껴질 수도 있어서, 기초 케어를 평소보다 신경 쓰지 않으면 건조하다고 느낄 수 있을 것 같아요.",4
정샘물,정샘물 에센셜 스킨 누더 쿠션,13,3.85,1.14,1점:1건 / 3점:3건 / 4점:5건 / 5점:4건,"고급진 윤광(2), 얇고 샤르르한 발림성(1), 고급진 피부 표현(1)","비싼 가격(2), 낮은 커버력(1)","환절기(2), 가을(2), 피부 좋은 건성(1), 노란기가 많은 피부(1), 붉은기 커버를 원하는 사람(1)",11,"제일 밝은 컬러를 21호가 쓸 정도라서, 그것보다 피부가 더 밝으신 분들은 못 쓸 것 같습니다. ||| 이게 조금 옐로우 베이스라서 너무 많이 바르면 화장이 두꺼워 보일 수 있어요. ||| 건성 피부한테는 베스트지만, 지성 피부한테는 후회템이 될 수도 있을 것 같아요. ||| 다른 쿠션처럼 커버력이나 피부에 착 붙는 힘이 강한 제품을 선호한다면, 이 쿠션은 다소 심심하게 느껴질 수도 있을 것 같아요. ||| 이 쿠션은 수분감 있게 올라오는 제형이라 커버력을 높이는 데 한계가 좀 있었어요. ||| 양 조절을 잘못하면 자칫 두껍게 발릴 수도 있어요. ||| 글로우한 쿠션을 찾는데 색상이 엄청 뽀얗고 밝은 느낌이었으면 좋겠다 하시는 분들께는 좀 비추천해요. ||| 글로우 쿠션인데도 파우더 처리를 해 줘야 하는 경우가 있어요. ||| 팔자 주름 쪽으로 살짝 끼임 현상이 있을 수도 있어요. ||| 건성 피부라면 사계절 내내 쓰기에는 좀 어렵고, 특히 겨울철에 사용할 때는 화달목 스킨케어가 필수일 수 있어요. ||| 밝은 호수를 써도 피부 톤에 따라 너무 누렇게 느껴질 수 있어요.",1
파넬,파넬 시카마누 세럼쿠션,13,3.92,1.26,1점:1건 / 2점:1건 / 3점:1건 / 4점:5건 / 5점:5건,"예쁜 광(1), 사계절 사용 가능(1), 예쁜 무너짐(1)","낮은 커버력(3), 지속력이 아주 좋지는 않음(1)","건성(4), 지성(2), 겨울철(2), 복합성(2), 트러블 피부(2)",10,"지성 피부의 경우, 한여름에는 파우더를 써도 무너질 수도 있을 것 같아요. ||| 두 겹 발랐을 때 커버력이 높아지긴 해도, 완전히 결점을 싹 가려주는 느낌의 쿠션은 아니에요. ||| 건성이나 수부지 피부는 처음엔 괜찮아도 시간 지나면 속건조가 느껴질 수 있으니, 기초를 꼼꼼히 하는 게 좋아요. ||| 복합성 피부는 코나 나비존처럼 속 들뜸이 있는 부위는 좀 주의가 필요할 것 같아요. ||| 여름엔 티존에 파우더는 꼭 해줘야 할 것 같아요. ||| 21호는 처음 발랐을 때 살짝 밝은데, 23호는 또 살짝 어두워요. 그리고 시간이 지나면 다크닝이 와서 처음 색상과 다르게 느껴질 수도 있어요. ||| 땀을 많이 흘리지 않는 체질인데도 파넬 시카마누 세럼 쿠션은 제형이 다 날아가서 흔적도 없이 사라지는 경험을 했어요. ||| 지성 피부가 파우더 처리 없이 바르자마자 나가면, 피부가 다 먹어버리는 것처럼 느껴질 수도 있을 것 같아요. ||| 커버가 필요 없는 분들한테는 살짝 두껍게 느껴질 수도 있을 것 같아요.",1
클리오,클리오 킬커버 파운웨어 쿠션,11,3.73,0.9,2점:1건 / 3점:3건 / 4점:5건 / 5점:2건,"높은 커버력(5), 뛰어난 지속력(2), 얇은 입자(1)","건성에게는 건조함(1), 다크닝 심함(1)","세미매트 선호(5), 지복합성(2), 여름철(2), 높은 커버력 선호(2), 건성(2)",9,"모공이 있으신 분들은 딱 올리자마자 모공에 끼는 것 같다고 느끼실 수도 있을 것 같아요. 밀듯이 바르면 끼일 수 있고, 직각으로 눌러 발라야 밀착, 지속력, 모공 커버력이 높아집니다. ||| 스킨케어는 너무 가볍게도, 너무 탄탄하게도 말고 적당히 해 주시는 게 좋을 것 같아요. ||| 펴 바를 때 촉촉하고 시원하거나 물기가 많이 느껴진다면 양이 많은 거예요. 퍼프 원단의 질감이 느껴져야 적당량입니다. ||| 이 쿠션은 바르자마자 보이는 컬러로 구매하면 안 될 것 같고, 팔뚝 등에 테스트하고 다른 거 좀 더 구경하다가 어두워진 톤을 보고 그 컬러로 구매해야 할 것 같습니다. ||| 이 쿠션은 첫 터치 했을 때 피부 표현이 너무 예쁘고 유분 컨트롤도 꽤 잘해 주고 수정으로도 괜찮긴 하지만, 날씨가 선선해질 일밖에 안 남은 시점에서는 추천드리기에 약간 리스크가 있을 것 같아요. ||| 미묘하게 찰흙 갈라지듯이 좀 갈라지는 부분이 있어요. 그렇게 두껍게 메이크업하지 않았는데도 지글지글하게 찰흙 끼듯이 끼는 현상이 있습니다. ||| 기름진 피부 위에 바르면 모공에는 살짝 끼이는 건 어쩔 수 없는 것 같아요. 유분을 걷어내고 바르셔야 할 것 같습니다.",2
어바웃톤,어바웃톤 스킨 레이어 핏 쿠션,11,3.91,0.54,3점:2건 / 4점:8건 / 5점:1건,"높은 커버력(2), 할인 시 가격 매력(1), 얇고 편안한 밀착(1)","색감 아쉬움(1), 밀착력 부족(1)","수부지(3), 지성 피부(3), 지성(2), 대중적(1), 편안한 피부 표현(1)",7,"이런 애들의 특징이 좀 편안하게 펼쳐지니까 커버력을 위해 처음부터 벅벅 올리게 되면 피부 위에 붙는 느낌보다는 얹어지는 느낌으로 표현돼요. 이게 유분하고 만나면 나중에 무너지면서 호불호가 갈릴 수 있고, 어떤 사람에게는 되게 지저분하게 무너질 수도 있어요.|||제가 이걸 여름에 썼을 때는 살짝 무너짐이 있다고 느꼈어요. 그래서 여름엔 손이 잘 안 갔는데, 선선해지고 나서 써보니까 괜찮더라고요.|||그렇다고 이게 유분감이 막 꽉 잡히는 매트까지는 또 아니다 보니까, 추천 타입은 극건성과 극지성을 제외한 피부예요. 건성 분들이 쓰신다면 스킨케어를 꼭 탄탄히 하고 써 주시고요. 지성 분들이 쓰신다면 프라이머나 파우더 처리를 꼭 하시는 걸 추천드릴게요.|||지성 분들은 어바웃톤 파우더랑 함께 쓰면 최강일 듯해요.|||요쪽이 뭉치고 솜털에 끼기도 했어요.|||컨트롤만 잘해 주면 전반적인 제형감, 밀착감, 컬러감 모두 상위 랭킹의 쿠션이라고 생각하시면 될 것 같아요.|||개인적으로는 수부지나 지성 분들한테는 정말 정말 추천하지만, 속건조가 있거나 건성 피부라면 이 쿠션이 약간은 픽싱되고 마른다는 느낌이 들 수도 있을 것 같아요.",1
힌스,힌스 커버 마스터 핑크 쿠션,11,3.09,0.94,2점:3건 / 3점:5건 / 4점:2건 / 5점:1건,"높은 커버력(3), 커버력 좋음(2), 커버력 높음(1)","덧바르면 들뜸/끼임(1), 모공 커버 약간 아쉬움(1)","복합성(2), 수부지(2), 커버력 높은 세미매트 선호(1), 사용하기 편한 매트 제형 선호(1), 묵직하고 광나는 세미 글로우 선호(1)",11,"이 제품은 픽싱이 확실한 타입이라 한 번만 터치하고 더 이상 만지지 않는 게 더 깨끗하게 발릴 수 있어요. ||| 파우더 처리에 따라 지속력이 많이 달라질 수 있어요. 만약 파우더의 특정 느낌이 싫거나 적게 쓰고 싶다면, 중간중간 수정 화장을 해주셔야 할 거예요. ||| 이것도 촉촉 쿠션이긴 하지만 피부에 밀착되는 느낌이 강해서, 무작정 밀거나 계속 두드리면 모공 끼임이 생기거나 무너짐이 안 예쁠 수 있어요. ||| 복합성 피부는 코 부분이 들뜰 수 있어서 조금 더 신경 써서 발라주셔야 할 거예요. ||| 건성 피부는 스킨케어를 탄탄하게 해주지 않으면 쿠션이 잘 안 먹을 수도 있어요. ||| 평소 21호 N이나 C를 무난하게 쓰셨던 분들은 색상이 살짝 밝게 느껴질 수 있어요. ||| 커버력이 높은 만큼 두껍게 발릴 수 있고, 컬러는 예쁘게 나왔지만 다크닝이 심할 수 있어요. ||| 코 옆에 유분이 걱정이라면, 애초부터 얇은 양으로 쓸어 바르지 않으면 몽골몽골 뜨는 현상이 생길 수 있어요. ||| 기초를 너무 촉촉하게 바르면 세미 매트로 픽싱되는 쿠션이라 밀리거나 뭉칠 수 있어요. ||| 양을 많이 바른 부분은 시간이 지나면서 살짝 들뜨는 현상이 느껴질 수 있으니, 양 조절이 중요해요. ||| 파우더를 항상 쓰시는 분들에게는 이 쿠션을 많이 추천하지 않을 수도 있어요.",0
더샘,더샘 스킨 퍼펙션 글루타치온 토닝 쿠션,11,3.18,1.25,1점:1건 / 2점:2건 / 3점:4건 / 4점:2건 / 5점:2건,"은은한 광채(1), 글루타치온 성분 함유 (효능 기대)(1), 붉은기 없는 밝은 색감과 오일 미스트를 섞은 듯한 투명한 광택(1)","양 조절 어려움(1), 밀착력 약함(1)","건성(2), 복합성(2), 수부지(2), 겨울철(2), 지성 피부 및 핑크빛 없는 옐로우 베이스의 밝은 호수 선호자(1)",9,"오히려 터치를 덜 했음에도 불구하고 들뜨거나 허옇게 끼이는 현상이 보여서, 이런 걸 별로 안 좋아하시는 분들은 사용하기 어렵다고 느끼실 거예요. ||| 겉으로는 유분감이 올라와 보이는데 모공 끼임과 주름 끼임이 살짝씩 있을 수 있어요. ||| 코 밑부분처럼 잔각질이 있는 부위는 시간이 지나면서 잔각질이 스멀스멀 올라올 수 있어요. ||| 지성 피부인데 촉촉 쿠션을 쓰고 싶어도 너무 번들거리는 느낌이 되면 사용하기 어려울 수 있고요, 시간이 지나면서 유분기가 올라오는 것 때문에 안 쓰게 될 수도 있어요. ||| 지성, 수부지, 복합성 피부는 괜찮게 잘 사용할 수 있겠지만, 건성, 악건성 피부는 픽싱이 빠르기 때문에 '이게 스킨케어링 쿠션이야?' 하는 의문이 들 수도 있어요.",2
VDL,VDL 커버스테인 퍼펙팅 쿠션,10,4.2,0.92,2점:1건 / 4점:5건 / 5점:4건,"모공 커버 잘 됨(3), 얇은 밀착력(1), 깨끗한 색상(1)","수정 화장 시 지우고 덧바르는 것이 좋음(1), 바르기 어려움(1)","모든 피부 타입 (수부지(1), 복합성(1), 건성)(1), 데일리로 가볍지만 커버력과 균일한 표현 선호(1), 피부결 잘 정돈된 분(1)",7,건성분들은 환절기에 각질이 좀 많이 올라와 있는 상태라면 만족하시기 어려울 수 있어요. 스킨케어를 잘 신경 써주셔야 할 것 같아요. ||| 이 쿠션은 바르시는 날 얼굴에 뭐가 묻어도 수정 화장을 절대 생각하지 마세요. 수정하면 아마 좀 지저분해질 수도 있을 것 같거든요. ||| 이 쿠션은 얇게 발리다 보니 처음부터 커버력이 높지 않아요. ||| 밀어서 바르면 뭉치기 때문에 꼭 두드려서 꼼꼼히 펴 발라야 할 거예요. 코 주변은 차라리 지우고 다시 바르는 게 더 깔끔할 수도 있어요. ||| 몇몇 분들은 이 쿠션을 좀 건조하게 느끼실 수도 있을 것 같아요.,0
비디비치,비디비치 블랙 퍼펙션 커버 핏 쿠션,9,3.67,1.12,1점:1건 / 3점:1건 / 4점:6건 / 5점:1건,"예쁜 피부 표현(1), 좋은 커버력(1), 예쁜 무너짐(1)","높지 않은 잡티 커버력(1), 붉은기 보정 아쉬움(1)","수부지(2), 세미매트 선호(2), 지성(1), 자연스러운 표현 선호(1), 은은한 윤광 선호(1)",6,"기존 블랙 쿠션이 지성, 수부지용이라면, 이 제품은 건성용 블랙 쿠션 느낌이라 건성이 아닌 분들께는 다소 과할 수도 있겠어요. ||| 손톱으로 긁으면 제형이 낄 것 같은 두께감이 느껴질 수 있어요. ||| 픽서나 파우더 없이 단독으로 사용하면 자국이 남을 수도 있을 것 같아요. ||| 첫 터치 시 피부 표현도 예쁘고 유분 컨트롤도 잘 되는 편이지만, 날씨가 선선해질 일만 남은 지금 추천하기엔 약간의 리스크가 있을 것 같아요. ||| 처음 바를 때 고르게 발리지 않는 느낌이 있어서, 섬세하게 펴 바를 필요가 있을 것 같아요.",1
